case_num,instance_id,repo,language,resolution_rate,total_runs,passes,all_fail,patch_hunks,f2p_count,test_patch_chars,has_test_prestaging,before_repo_set_cmd_present,leakage_signals,audit_status,human_verdict,verdict_reason,audited_by,audit_date,contamination_type,failure_reason,confidence,agent_understood_problem,agent_addressed_spec
56,instance_ansible__ansible-d33bedc48fdd933b5abd65a77c081876298e2f07-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,python,0%,14,0,YES,7,7,9482,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(94%): timeout — This task looks clean. The failing tests named in the benchmark map directly to the problem statement: unhashable values for boolean conversion, sequence-to-list conversion, mapping-to-dict conversion",gpt-5.4-20260305-blind,2026-04-13 10:44:59,,timeout,0.94,True,False
57,instance_gravitational__teleport-73cc189b0e9636d418c4470ecce0d9af5dae2f02-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,gravitational/teleport,go,55%,11,6,NO,1,3,1710,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(95%): timeout — This task looks clean. The problem statement says Teleport should support GCP service account impersonation similarly to existing AWS IAM role and Azure identity integrations. The F2P tests do exactly,gpt-5.4-20260305-blind,2026-04-13 10:45:52,,timeout,0.95,True,False
58,instance_navidrome__navidrome-d8e794317f788198227e10fb667e10496b3eb99a,navidrome/navidrome,go,0%,14,0,YES,10,2,5285,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(97%): timeout — This task shows clear contamination. The agent understood the requested behavior and started implementing the central idea: unify placeholder fallback, make strict retrieval return an unavailable erro",gpt-5.4-20260305-blind,2026-04-13 10:47:27,test_coupling,timeout,0.97,True,False
59,instance_internetarchive__openlibrary-9bdfd29fac883e77dcbc4208cab28c06fd963ab2-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,internetarchive/openlibrary,python,0%,14,0,YES,2,5,6583,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(95%): timeout — This looks clean. The F2P tests check exactly the behaviors named in the problem statement: alias remapping (`title`, `by`), greedy field binding across subsequent terms, preservation of boolean opera",gpt-5.4-20260305-blind,2026-04-13 10:48:31,,timeout,0.95,True,False
60,instance_flipt-io__flipt-c8d71ad7ea98d97546f01cce4ccb451dbcf37d3b,flipt-io/flipt,go,0%,13,0,YES,9,8,4119,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(96%): contamination — This task shows clear contamination rather than mere difficulty. The problem statement is about behavior: `flipt validate` should catch missing variant/segment references, and import behavior should b",gpt-5.4-20260305-blind,2026-04-13 10:50:21,test_coupling,contamination,0.96,True,False
61,instance_ansible__ansible-ecea15c508f0e081525be036cf76bbb56dbcdd9d-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,python,0%,14,0,YES,3,7,12711,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(97%): timeout — This benchmark shows strong contamination. The agent clearly understood the user-facing requirement: `ansible-galaxy install -r requirements.yml` should install both roles and collections in one run w,gpt-5.4-20260305-blind,2026-04-13 10:52:10,test_coupling,timeout,0.97,True,False
62,instance_protonmail__webclients-da91f084c0f532d9cc8ca385a701274d598057b8,protonmail/webclients,js,8%,12,1,NO,4,2,5562,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(94%): timeout — This looks contaminated rather than merely hard. The problem statement asks for three behavioral outcomes: render simple HTML safely, make links secure/predictable, and suppress duplicate non-success ",gpt-5.4-20260305-blind,2026-04-13 10:53:59,test_coupling,timeout,0.94,True,False
63,instance_internetarchive__openlibrary-8a9d9d323dfcf2a5b4f38d70b1108b030b20ebf3-v13642507b4fc1f8d234172bf8129942da2c2ca26,internetarchive/openlibrary,python,0%,13,0,YES,3,16,2823,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(98%): contamination — This is strong contamination. The agent clearly followed the problem statement: it examined `manage_imports.py`, `openlibrary.core.imports`, and the import API, and repeatedly concluded it needed to a",gpt-5.4-20260305-blind,2026-04-13 10:55:10,task_patch_mismatch,contamination,0.98,True,False
64,instance_gravitational__teleport-b5d8169fc0a5e43fee2616c905c6d32164654dc6,gravitational/teleport,go,0%,14,0,YES,5,4,3115,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(81%): timeout — This looks mostly clean. The problem statement itself explicitly explains that connectivity broke because OSS users were migrated away from `admin`, and that cross-cluster access depended on `admin`-t",gpt-5.4-20260305-blind,2026-04-13 10:57:16,,timeout,0.81,True,False
65,instance_flipt-io__flipt-05d7234fa582df632f70a7cd10194d61bd7043b9,flipt-io/flipt,go,0%,14,0,YES,10,4,3166,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(95%): contamination — The agent broadly understood the task: it found the TODO `GetVersion` implementations, noticed the evaluation path depended on namespace versions, saw that `Document` needed version metadata carried t",gpt-5.4-20260305-blind,2026-04-13 10:59:50,test_coupling,contamination,0.95,True,False
66,instance_NodeBB__NodeBB-70b4a0e2aebebe8f2f559de6680093d96a697b2f-vnan,NodeBB/NodeBB,js,57%,14,8,NO,4,1,4471,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(97%): timeout — This task appears clean. The fail-to-pass test checks only behavioral outcomes that are explicitly stated in the problem: calling `sortedSetsCardSum` with `min`/`max` bounds should return the correct ,gpt-5.4-20260305-blind,2026-04-13 11:00:35,,timeout,0.97,True,False
67,instance_internetarchive__openlibrary-0dc5b20fa186f9714f8a838178597e69f549d026-v2d9a6c849c60ed19fd0858ce9e40b7cc8e097e59,internetarchive/openlibrary,python,15%,13,2,NO,1,2,1735,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(97%): agent_error — This task looks clean. The fail-to-pass tests only update expected parsed JSON outputs for two MARC samples by adding `alternate_names` to author entries; they do not import private helpers, check exa",gpt-5.4-20260305-blind,2026-04-13 11:01:46,,agent_error,0.97,False,False
68,instance_future-architect__vuls-be7b9114cc9545e68fb0ee7bc63d7ec53d1a00ad,future-architect/vuls,go,57%,14,8,NO,3,6,5192,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(97%): agent_error — This task appears clean. The problem statement explicitly says that Trivy exposes PURL under `Identifier.PURL` and that Vuls should carry that into `models.Library` entries in `LibraryScanners`. The v,gpt-5.4-20260305-blind,2026-04-13 11:02:34,,agent_error,0.97,True,False
69,instance_navidrome__navidrome-29b7b740ce469201af0a0510f3024adc93ef4c8e,navidrome/navidrome,go,93%,14,13,NO,2,1,1298,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(94%): agent_error — This looks clean. The added tests check exactly the behavior described in the problem statement: a configurable size limit should evict older items, and a configurable default TTL should cause entries",gpt-5.4-20260305-blind,2026-04-13 11:03:45,,agent_error,0.94,True,False
70,instance_gravitational__teleport-baeb2697c4e4870c9850ff0cd5c7a2d08e1401c9-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,gravitational/teleport,go,8%,12,1,NO,3,33,6571,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(96%): contamination — This task shows strong contamination. The user-facing spec is broad: remove duplicated HSM/KMS test setup by centralizing reusable backend-detection/configuration logic. That leaves many valid impleme,gpt-5.4-20260305-blind,2026-04-13 11:05:22,approach_lock,contamination,0.96,True,True
71,instance_navidrome__navidrome-d0dceae0943b8df16e579c2d9437e11760a0626a,navidrome/navidrome,go,0%,14,0,YES,14,2,5685,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(87%): timeout — This looks like a fair task rather than a contaminated one. The problem statement asks for Subsonic share support so clients can create public share links and retrieve existing shares, and the F2P tes",gpt-5.4-20260305-blind,2026-04-13 11:06:23,,timeout,0.87,True,False
72,instance_NodeBB__NodeBB-18c45b44613aecd53e9f60457b9812049ab2998d-v0495b863a912fbff5749c67e860612b91825407c,NodeBB/NodeBB,js,0%,14,0,YES,8,7,7740,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(96%): agent_error — This task appears clean. The tests check for exactly what the problem statement asks: authenticated API support for issuing, accepting, and rejecting group invitations, plus corresponding schema docum",gpt-5.4-20260305-blind,2026-04-13 11:07:49,,agent_error,0.96,True,False
73,instance_future-architect__vuls-ca3f6b1dbf2cd24d1537bfda43e788443ce03a0c,future-architect/vuls,go,0%,14,0,YES,5,16,9470,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(94%): contamination — This task shows strong contamination. The problem statement is behavioral: detect Amazon Linux 2 Extra Repository packages and fetch the correct advisories. But the staged F2P tests include unrelated ,gpt-5.4-20260305-blind,2026-04-13 11:09:11,task_patch_mismatch,contamination,0.94,True,False
74,instance_future-architect__vuls-1832b4ee3a20177ad313d806983127cb6e53f5cf,future-architect/vuls,go,0%,14,0,YES,9,18,9425,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(99%): contamination — This is a clear contamination case, not a genuinely hard task. The repository, gold patch, and F2P tests are aligned with a macOS-support feature in Vuls, while the written task is about reducing the ",gpt-5.4-20260305-blind,2026-04-13 11:09:41,task_patch_mismatch,contamination,0.99,False,False
75,instance_qutebrowser__qutebrowser-21b426b6a20ec1cc5ecad770730641750699757b-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,python,0%,13,0,YES,2,3,2029,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(96%): agent_error — This task shows clear contamination even though the particular agent also made implementation mistakes. The problem statement specifies semantic behavior: `Values` should use an ordered mapping so dup,gpt-5.4-20260305-blind,2026-04-13 11:10:51,approach_lock,agent_error,0.96,True,False
76,instance_NodeBB__NodeBB-445b70deda20201b7d9a68f7224da751b3db728c-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed,NodeBB/NodeBB,js,0%,13,0,YES,2,4,7601,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(97%): timeout — This task looks clean, not contaminated. The F2P tests check behavior that is directly described in the problem statement: missing/malformed required chat/user input should raise `[[error:invalid-data",gpt-5.4-20260305-blind,2026-04-13 11:11:55,,timeout,0.97,True,False
77,instance_ansible__ansible-42355d181a11b51ebfc56f6f4b3d9c74e01cb13b-v1055803c3a812189a1133297f7f5468579283f86,ansible/ansible,python,43%,14,6,NO,6,10,6525,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(98%): contamination — This task is contaminated. The problem statement is behavioral: ensure delegate_to is resolved once and loop items are evaluated once when both are used together. The new integration playbooks are con,gpt-5.4-20260305-blind,2026-04-13 11:13:09,approach_lock,contamination,0.98,True,False
78,instance_ansible__ansible-3889ddeb4b780ab4bac9ca2e75f8c1991bcabe83-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,python,0%,13,0,YES,2,8,15836,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(96%): contamination — This looks contaminated rather than genuinely hard. The agent clearly understood the requested feature and implemented a sensible solution matching the issue text: direct, idempotent management of use",gpt-5.4-20260305-blind,2026-04-13 11:14:37,test_coupling,contamination,0.96,True,True
79,instance_element-hq__element-web-582a1b093fc0b77538052f45cbb9c7295f991b51-vnan,element-hq/element-web,js,15%,13,2,NO,3,11,11161,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(89%): agent_error — The fail-to-pass tests are largely aligned with the problem statement: they verify that decryption failures are tracked only for visible events, that events which become visible later are then eligibl",gpt-5.4-20260305-blind,2026-04-13 11:15:58,,agent_error,0.89,True,False
80,instance_NodeBB__NodeBB-f2082d7de85eb62a70819f4f3396dd85626a0c0a-vd59a5728dfc977f44533186ace531248c2917516,NodeBB/NodeBB,js,0%,13,0,YES,6,5,2348,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(88%): contamination — This looks like a likely contaminated task rather than a purely hard one. The agent understood the requested migration and moved in the right direction: it inspected `src/socket.io/posts.js`, `src/api",gpt-5.4-20260305-blind,2026-04-13 11:17:45,undiscoverable_requirement,contamination,0.88,True,False
81,instance_tutao__tutanota-09c2776c0fce3db5c6e18da92b5a45dce9f013aa-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,tutao/tutanota,ts,14%,14,2,NO,7,1,1723,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(88%): timeout — This looks contaminated rather than merely hard. The prompt is high-level: show continuous, specific progress for a given calendar import, distinct from concurrent operations, and mark that operation ",gpt-5.4-20260305-blind,2026-04-13 11:20:17,test_coupling,timeout,0.88,True,False
82,instance_internetarchive__openlibrary-2fe532a33635aab7a9bfea5d977f6a72b280a30c-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,internetarchive/openlibrary,python,38%,13,5,NO,2,4,9567,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(91%): timeout — The tests are aligned with the problem statement rather than with undiscoverable internals. The statement explicitly says Amazon imports are dropping the language field and provides the expected PAAPI,gpt-5.4-20260305-blind,2026-04-13 11:21:28,,timeout,0.91,True,True
83,instance_ansible__ansible-709484969c8a4ffd74b839a673431a8c5caa6457-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,python,14%,14,2,NO,3,4,9653,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(98%): contamination — This case is strongly contaminated. The agent clearly understood the reported bug as a missing uptime fact on BSD systems and moved in that direction by adding uptime collection hooks across BSD-like ,gpt-5.4-20260305-blind,2026-04-13 11:22:58,task_patch_mismatch,contamination,0.98,True,True
84,instance_flipt-io__flipt-21a935ad7886cc50c46852be21b37f363a926af0,flipt-io/flipt,go,36%,14,5,NO,3,4,547,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(93%): timeout — This looks clean. The problem statement explicitly asks for a dedicated `grpc_level` configuration option, persistence into runtime config, and a default of `""ERROR""` when omitted. The visible F2P tes",gpt-5.4-20260305-blind,2026-04-13 11:24:49,,timeout,0.93,True,False
85,instance_navidrome__navidrome-66b74c81f115c78cb69910b0472eeb376750efc4,navidrome/navidrome,go,23%,13,3,NO,9,2,2710,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(95%): timeout — The agent did understand the intended feature: it traced where passwords are persisted and used for login/Subsonic token generation, verified with a custom script that passwords were stored in plainte",gpt-5.4-20260305-blind,2026-04-13 11:26:17,test_coupling,timeout,0.95,True,False
86,instance_gravitational__teleport-5dca072bb4301f4579a15364fcf37cc0c39f7f6c,gravitational/teleport,go,0%,13,0,YES,2,5,7017,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(94%): contamination — This looks contaminated rather than merely hard. The agent understood the reported issue and implemented the natural fix in the correct place: compute the encoded CA-subject size in the kube proxy’s `,gpt-5.4-20260305-blind,2026-04-13 11:29:25,undiscoverable_requirement,contamination,0.94,True,True
87,instance_navidrome__navidrome-b3980532237e57ab15b2b93c49d5cd5b2d050013,navidrome/navidrome,go,0%,12,0,YES,4,1,996,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(97%): contamination — This looks contaminated rather than merely hard. The stated requirement is behavioral: use the configured API key if present, otherwise use a built-in shared key; use configured language if present, o",gpt-5.4-20260305-blind,2026-04-13 11:30:45,test_coupling,contamination,0.97,True,True
88,instance_qutebrowser__qutebrowser-996487c43e4fcc265b541f9eca1e7930e3c5cf05-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,python,79%,14,11,NO,2,1,634,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(97%): timeout — This task appears clean. The problem statement explicitly says `FormatString` should support encoding validation similar to `String`, especially for ASCII-only HTTP headers. The added F2P test checks ",gpt-5.4-20260305-blind,2026-04-13 11:31:21,,timeout,0.97,True,False
89,instance_ansible__ansible-e22e103cdf8edc56ff7d9b848a58f94f1471a263-v1055803c3a812189a1133297f7f5468579283f86,ansible/ansible,python,57%,14,8,NO,2,4,1476,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(99%): contamination — This looks like clear benchmark contamination, not a fair hard task. The agent understood the user-facing bug: the custom WinRM kinit command was being interpreted as one executable string, so a fix s",gpt-5.4-20260305-blind,2026-04-13 11:32:26,task_patch_mismatch,contamination,0.99,True,True
90,instance_internetarchive__openlibrary-b67138b316b1e9c11df8a4a8391fe5cc8e75ff9f-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,internetarchive/openlibrary,python,0%,13,0,YES,6,11,27277,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(92%): timeout — This looks clean rather than contaminated. The problem statement explicitly says 880 fields should be parsed in both linked and unlinked scenarios and mentions normalization issues such as duplicate s,gpt-5.4-20260305-blind,2026-04-13 11:34:08,,timeout,0.92,True,False
91,instance_navidrome__navidrome-5001518260732e36d9a42fb8d4c054b28afab310,navidrome/navidrome,go,21%,14,3,NO,9,4,2998,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(89%): timeout — This task is not clean. The agent understood the requested architectural change and was moving in the right direction, but timed out before completing and validating the patch. More importantly, the F",gpt-5.4-20260305-blind,2026-04-13 11:36:40,test_coupling,timeout,0.89,True,False
92,instance_internetarchive__openlibrary-d109cc7e6e161170391f98f9a6fa1d02534c18e4-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,internetarchive/openlibrary,python,23%,13,3,NO,10,2,1397,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(97%): contamination — The agent clearly understood the requested feature: it inspected the list model, list controller, and edit/view templates, and explicitly identified the need to support annotated seeds with notes, pre",gpt-5.4-20260305-blind,2026-04-13 11:38:05,test_coupling,contamination,0.97,True,False
93,instance_future-architect__vuls-3c1489e588dacea455ccf4c352a3b1006902e2d4,future-architect/vuls,go,0%,12,0,YES,6,22,15454,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(93%): contamination — This task shows strong contamination signals. The stated bug is straightforward: if a vulnerability has severity but no numeric CVSS, estimate a score and ensure filtering, grouping, and reports treat",gpt-5.4-20260305-blind,2026-04-13 11:40:45,test_coupling,contamination,0.93,True,False
94,instance_ansible__ansible-d58e69c82d7edd0583dd8e78d76b075c33c3151e-v173091e2e36d38c978002990795f66cfc0af30ad,ansible/ansible,python,0%,14,0,YES,3,2,10595,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(96%): contamination — This task shows clear contamination. The user-visible specification is straightforward: `uri` and `get_url` should transparently decode gzip-encoded responses, with some way to disable decompression. ",gpt-5.4-20260305-blind,2026-04-13 11:41:59,test_coupling,contamination,0.96,True,False
95,instance_flipt-io__flipt-f1bc91a1b999656dbdb2495ccb57bf2105b84920,flipt-io/flipt,go,0%,13,0,YES,5,13,58162,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(88%): timeout — The agent clearly understood the requested architectural refactor: it found that `Server.Evaluate` delegated to `RuleStore.Evaluate`, noted that `RuleStore` improperly included evaluation behavior, an",gpt-5.4-20260305-blind,2026-04-13 11:44:06,test_coupling,timeout,0.88,True,False
96,instance_internetarchive__openlibrary-5fb312632097be7e9ac6ab657964af115224d15d-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,internetarchive/openlibrary,python,0%,14,0,YES,8,4,4941,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(95%): contamination — This task shows clear contamination. The problem statement describes behavior: language-aware Wikipedia sitelink resolution with English fallback, extraction of usable external identifiers, and genera",gpt-5.4-20260305-blind,2026-04-13 11:45:54,test_coupling,contamination,0.95,True,True
97,instance_internetarchive__openlibrary-7edd1ef09d91fe0b435707633c5cc9af41dedddf-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,internetarchive/openlibrary,python,0%,13,0,YES,2,2,4187,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(97%): timeout — This benchmark shows clear contamination. The problem statement specifies semantic requirements: unify logic across autocomplete endpoints, search exact + prefix matches on title/name, exclude edition",gpt-5.4-20260305-blind,2026-04-13 11:47:45,test_coupling,timeout,0.97,True,False
98,instance_flipt-io__flipt-b68b8960b8a08540d5198d78c665a7eb0bea4008,flipt-io/flipt,go,14%,14,2,NO,2,1,3247,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(95%): contamination — This task is contaminated. The problem statement specifies behavior: when `storage.read_only=true`, database-backed API writes must be blocked consistently with the UI and other backends. There are ma",gpt-5.4-20260305-blind,2026-04-13 11:49:27,test_coupling,contamination,0.95,True,True
99,instance_element-hq__element-web-2760bfc8369f1bee640d6d7a7e910783143d4c5f-vnan,element-hq/element-web,js,0%,14,0,YES,1,4,3510,YES,YES,,LLM_ANALYZED_BLIND,PENDING_HUMAN_REVIEW,"LLM_BLIND(72%): timeout — This run does not show confirmed benchmark contamination. The agent clearly understood the bug and started a plausible fix: adding an updating flag, guarding handlers, and disabling buttons while work",gpt-5.4-20260305-blind,2026-04-13 11:51:56,,timeout,0.72,True,False
100,instance_qutebrowser__qutebrowser-394bfaed6544c952c6b3463751abab3176ad4997-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,qutebrowser/qutebrowser,python,0%,14,0,YES,6,16,5400,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(93%): contamination — This task shows strong contamination. The agent clearly understood the requested feature: centralize QtWebEngine version detection, prefer ELF-derived data, fall back sensibly, and use that informatio",gpt-5.4-20260305-blind,2026-04-13 11:53:25,test_coupling,contamination,0.93,True,False
101,instance_qutebrowser__qutebrowser-6dd402c0d0f7665d32a74c43c5b4cf5dc8aff28d-v5fc38aaf22415ab0b70567368332beee7955b367,qutebrowser/qutebrowser,python,36%,14,5,NO,1,1,1101,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(95%): agent_error — This looks clean, not contaminated. The hidden F2P test checks a directly stated behavior: a corrupted adblock cache should not crash the app, and an error message should be shown. While the test asse",gpt-5.4-20260305-blind,2026-04-13 11:54:26,,agent_error,0.95,True,True
